n,a_n,b_n
425,536616,536191
426,63139,62713
427,539647,539220
428,546681,546253
429,550745,550316
430,551926,551496
431,555785,555354
432,557234,556802
433,557667,557234
434,572832,572398
435,574596,574161
436,579123,578687
437,582545,582108
438,584463,584025
439,598128,597689
440,602465,602025
441,605954,605513
442,610685,610243
443,617105,616662
444,2547,2103
445,623558,623113
446,625675,625229
447,630311,629864
448,631538,631090
449,637238,636789
450,640961,640511
451,611136,610685
452,645561,645109
453,655321,654868
454,657558,657104
455,658841,658386
456,663564,663108
457,679509,679052
458,681175,680717
459,686997,686538
460,690845,690385
461,692472,692011
462,700405,699943
463,704389,703926
464,711151,710687
465,715364,714899
466,719488,719022
467,438360,437893
468,573300,572832
469,725022,724553
470,735441,734971
471,738492,738021
472,741619,741147
473,691318,690845
474,49146,48672
475,1164,689
476,752099,751623
477,761773,761296
478,90491,90013
479,766872,766393
480,768908,768428
481,90972,90491
482,787404,786922
483,797692,797209
484,802486,802002
485,802971,802486
486,2809,2323
487,821452,820965
488,823293,822805
489,6367,5878
490,4272,3782
491,826028,825537
492,829540,829048
493,840939,840446
494,844953,844459
495,855502,855007
496,856951,856455
497,863084,862587
498,871799,871301
499,880403,879904
500,881451,880951
