n,a_n,b_n,ratio_n,ratio_n2,ratio_n3
99,144,45,1.454545,0.01469238,0.0001484079
100,166,66,1.660000,0.01660000,0.0001660000
101,11758,11657,116.415842,1.15263209,0.0114121990
102,14310,14208,140.294118,1.37543253,0.0134846326
103,200,97,1.941748,0.01885192,0.0001830283
104,15580,15476,149.807692,1.44045858,0.0138505633
105,16652,16547,158.590476,1.51038549,0.0143846237
106,17531,17425,165.386792,1.56025276,0.0147193657
107,307,200,2.869159,0.02681457,0.0002506034
108,333,225,3.083333,0.02854938,0.0002643461
109,416,307,3.816514,0.03501389,0.0003212283
110,18450,18340,167.727273,1.52479339,0.0138617581
111,444,333,4.000000,0.03603604,0.0003246490
112,19690,19578,175.803571,1.56967474,0.0140149531
113,144,31,1.274336,0.01127731,0.0000997992
114,22103,21989,193.885965,1.70075408,0.0149188954
115,23164,23049,201.426087,1.75153119,0.0152307060
116,25080,24964,216.206897,1.86385256,0.0160676945
117,27470,27353,234.786325,2.00672072,0.0171514592
118,28745,28627,243.601695,2.06442114,0.0174950944
119,200,81,1.680672,0.01412330,0.0001186832
120,29650,29530,247.083333,2.05902778,0.0171585648
121,166,45,1.371901,0.01133802,0.0000937027
122,31023,30901,254.286885,2.08431873,0.0170845798
123,144,21,1.170732,0.00951814,0.0000773833
124,31864,31740,256.967742,2.07232050,0.0167122621
125,717,592,5.736000,0.04588800,0.0003671040
126,32716,32590,259.650794,2.06072058,0.0163549253
127,37391,37264,294.417323,2.31824664,0.0182539105
128,225,97,1.757812,0.01373291,0.0001072884
129,37918,37789,293.937984,2.27858903,0.0176634808
130,42807,42677,329.284615,2.53295858,0.0194842968
131,144,13,1.099237,0.00839112,0.0000640543
132,44373,44241,336.159091,2.54665978,0.0192928771
133,333,200,2.503759,0.01882526,0.0001415433
134,200,66,1.492537,0.01113834,0.0000831219
135,166,31,1.229630,0.00910837,0.0000674694
136,144,8,1.058824,0.00778547,0.0000572461
137,444,307,3.240876,0.02365603,0.0001726717
138,47484,47346,344.086957,2.49338374,0.0180679981
139,51365,51226,369.532374,2.65850629,0.0191259445
140,144,4,1.028571,0.00734694,0.0000524781
141,307,166,2.177305,0.01544188,0.0001095169
142,144,2,1.014085,0.00714144,0.0000502918
143,144,1,1.006993,0.00704191,0.0000492441
144,225,81,1.562500,0.01085069,0.0000753520
145,166,21,1.144828,0.00789536,0.0000544508
146,54866,54720,375.794521,2.57393507,0.0176296923
147,56343,56196,383.285714,2.60738581,0.0177373184
148,592,444,4.000000,0.02702703,0.0001826150
149,58177,58028,390.449664,2.62046755,0.0175870305
150,61565,61415,410.433333,2.73622222,0.0182414815
151,47635,47484,315.463576,2.08916276,0.0138355149
152,64502,64350,424.355263,2.79181094,0.0183671772
153,166,13,1.084967,0.00709129,0.0000463483
154,67680,67526,439.480519,2.85376961,0.0185309715
155,200,45,1.290323,0.00832466,0.0000537075
156,70690,70534,453.141026,2.90475016,0.0186201934
157,75192,75035,478.929936,3.05050915,0.0194299946
158,166,8,1.050633,0.00664958,0.0000420859
159,225,66,1.415094,0.00889996,0.0000559746
160,78520,78360,490.750000,3.06718750,0.0191699219
161,1135,974,7.049689,0.04378689,0.0002719683
162,166,4,1.024691,0.00632526,0.0000390448
163,307,144,1.883436,0.01155482,0.0000708885
164,166,2,1.012195,0.00617192,0.0000376337
165,166,1,1.006061,0.00609734,0.0000369536
166,80720,80554,486.265060,2.92930759,0.0176464313
167,333,166,1.994012,0.01194019,0.0000714982
168,85656,85488,509.857143,3.03486395,0.0180646663
169,200,31,1.183432,0.00700256,0.0000414352
170,87498,87328,514.694118,3.02761246,0.0178094850
171,89806,89635,525.181287,3.07123559,0.0179604421
172,91591,91419,532.505814,3.09596403,0.0179997909
173,96004,95831,554.936416,3.20772495,0.0185417627
174,100554,100380,577.896552,3.32124455,0.0190876124
175,101977,101802,582.725714,3.32986122,0.0190277784
176,592,416,3.363636,0.01911157,0.0001085885
177,110263,110086,622.954802,3.51951866,0.0198842862
178,116176,115998,652.674157,3.66670875,0.0205994874
179,200,21,1.117318,0.00624200,0.0000348715
180,225,45,1.250000,0.00694444,0.0000385802
181,625,444,3.453039,0.01907756,0.0001054009
182,120441,120259,661.763736,3.63606448,0.0199783763
183,1675,1492,9.153005,0.05001642,0.0002733138
184,125172,124988,680.282609,3.69718809,0.0200934135
185,130866,130681,707.383784,3.82369613,0.0206686277
186,134215,134029,721.586022,3.87949474,0.0208574986
187,200,13,1.069519,0.00571935,0.0000305848
188,141457,141269,752.430851,4.00229176,0.0212887860
189,333,144,1.761905,0.00932225,0.0000493241
190,143416,143226,754.821053,3.97274238,0.0209091704
191,416,225,2.178010,0.01140320,0.0000597026
192,200,8,1.041667,0.00542535,0.0000282570
193,146489,146296,759.010363,3.93269618,0.0203766641
194,225,31,1.159794,0.00597832,0.0000308161
195,11758,11563,60.297436,0.30921762,0.0015857314
196,200,4,1.020408,0.00520616,0.0000265621
197,152791,152594,775.588832,3.93699915,0.0199847673
198,200,2,1.010101,0.00510152,0.0000257653
199,200,1,1.005025,0.00505038,0.0000253788
200,1135,935,5.675000,0.02837500,0.0001418750
201,1175,974,5.845771,0.02908344,0.0001446937
