n,a_n,b_n,ratio_n2,ratio_n2logn,ratio_n2p5
129,37918,37789,2.27858903,0.46886358,0.20061858
130,42807,42677,2.53295858,0.52037815,0.22215516
131,144,13,0.00839112,0.00172119,0.00073314
132,44373,44241,2.54665978,0.52155705,0.22165828
133,333,200,0.01882526,0.00384947,0.00163236
134,200,66,0.01113834,0.00227413,0.00096221
135,166,31,0.00910837,0.00185685,0.00078392
136,144,8,0.00778547,0.00158478,0.00066760
137,444,307,0.02365603,0.00480815,0.00202107
138,47484,47346,2.49338374,0.50603925,0.21225092
139,51365,51226,2.65850629,0.53876185,0.22549156
140,144,4,0.00734694,0.00148674,0.00062093
141,307,166,0.01544188,0.00312035,0.00130044
142,144,2,0.00714144,0.00144102,0.00059930
143,144,1,0.00704191,0.00141893,0.00058887
144,225,81,0.01085069,0.00218332,0.00090422
145,166,21,0.00789536,0.00158645,0.00065567
146,54866,54720,2.57393507,0.51648039,0.21302038
147,56343,56196,2.60738581,0.52247691,0.21505356
148,592,444,0.02702703,0.00540842,0.00222161
149,58177,58028,2.62046755,0.52368019,0.21467707
150,61565,61415,2.73622222,0.54608289,0.22341161
151,47635,47484,2.08916276,0.41639351,0.17001365
152,64502,64350,2.79181094,0.55570807,0.22644577
153,166,13,0.00709129,0.00140968,0.00057330
154,67680,67526,2.85376961,0.56656670,0.22996331
155,200,45,0.00832466,0.00165060,0.00066865
156,70690,70534,2.90475016,0.57521445,0.23256614
157,75192,75035,3.05050915,0.60331504,0.24345713
158,166,8,0.00664958,0.00131347,0.00052901
159,225,66,0.00889996,0.00175580,0.00070581
160,78520,78360,3.06718750,0.60435122,0.24248246
161,1135,974,0.04378689,0.00861708,0.00345089
162,166,4,0.00632526,0.00124327,0.00049696
163,307,144,0.01155482,0.00226843,0.00090504
164,166,2,0.00617192,0.00121021,0.00048195
165,166,1,0.00609734,0.00119416,0.00047468
166,80720,80554,2.92930759,0.57302711,0.22735836
167,333,166,0.01194019,0.00233298,0.00092396
168,85656,85488,3.03486395,0.59228831,0.23414484
169,200,31,0.00700256,0.00136505,0.00053866
170,87498,87328,3.02761246,0.58951154,0.23220728
171,89806,89635,3.07123559,0.59732333,0.23486326
172,91591,91419,3.09596403,0.60145068,0.23606504
173,96004,95831,3.20772495,0.62246137,0.24387881
174,100554,100380,3.32124455,0.64376991,0.25178290
175,101977,101802,3.32986122,0.64472395,0.25171385
176,592,416,0.01911157,0.00369628,0.00144059
177,110263,110086,3.51951866,0.67994916,0.26454322
178,116176,115998,3.66670875,0.70761519,0.27483144
179,200,21,0.00624200,0.00120330,0.00046655
180,225,45,0.00694444,0.00133728,0.00051761
181,625,444,0.01907756,0.00366982,0.00141802
182,120441,120259,3.63606448,0.69870481,0.26952303
183,1675,1492,0.05001642,0.00960103,0.00369732
184,125172,124988,3.69718809,0.70896139,0.27256032
185,130866,130681,3.82369613,0.73245891,0.28112373
186,134215,134029,3.87949474,0.74238094,0.28445836
187,200,13,0.00571935,0.00109333,0.00041824
188,141457,141269,4.00229176,0.76431512,0.29189713
189,333,144,0.00932225,0.00177846,0.00067809
190,143416,143226,3.97274238,0.75714202,0.28821302
191,416,225,0.01140320,0.00217110,0.00082511
192,200,8,0.00542535,0.00103193,0.00039154
193,146489,146296,3.93269618,0.74727868,0.28308167
194,225,31,0.00597832,0.00113487,0.00042922
195,11758,11563,0.30921762,0.05864169,0.02214353
196,200,4,0.00520616,0.00098637,0.00037187
197,152791,152594,3.93699915,0.74519162,0.28049958
198,200,2,0.00510152,0.00096469,0.00036255
199,200,1,0.00505038,0.00095411,0.00035801
200,1135,935,0.02837500,0.00535547,0.00200642
201,1175,974,0.02908344,0.00548402,0.00205139
202,159346,159144,3.90515636,0.73567434,0.27476584
203,161882,161679,3.92831663,0.73934958,0.27571378
204,225,21,0.00540657,0.00101663,0.00037854
205,173107,172902,4.11914337,0.77383724,0.28769345
206,175025,174819,4.12444622,0.77412577,0.28736379
