n,a_n,b_n
1,382,381
2,445,443
3,589,586
4,449,445
5,703,698
6,449,443
7,794,787
8,946,938
9,1012,1003
10,1173,1163
11,1221,1210
12,1382,1370
13,70,57
14,1502,1488
15,1560,1545
16,1677,1661
17,238,221
18,88,70
19,1852,1833
20,108,88
21,291,270
22,1964,1942
23,314,291
24,167,143
25,2030,2005
26,193,167
27,28,1
28,221,193
29,57,28
30,2161,2131
31,88,57
32,270,238
33,2290,2257
34,2465,2431
35,143,108
36,2548,2512
37,2726,2689
38,108,70
39,2846,2807
40,3006,2966
41,3047,3006
42,70,28
43,3313,3270
44,314,270
45,238,193
46,3488,3442
47,3687,3640
48,3878,3830
49,270,221
50,193,143
51,108,57
52,4068,4016
53,291,238
54,221,167
55,143,88
56,57,1
57,3370,3313
58,4243,4185
59,167,108
60,88,28
61,4304,4243
62,5054,4992
63,5251,5188
64,5769,5705
65,6135,6070
66,6350,6284
67,449,382
68,449,381
69,70,1
70,291,221
71,238,167
72,3442,3370
73,143,70
74,5843,5769
75,7159,7084
76,314,238
77,270,193
78,221,143
79,167,88
80,108,28
81,3047,2966
82,7460,7378
83,7762,7679
84,8258,8174
85,193,108
86,143,57
87,88,1
88,8474,8386
89,8683,8594
90,8929,8839
91,9232,9141
92,9418,9326
93,314,221
94,9634,9540
95,238,143
96,9879,9783
97,167,70
98,291,193
99,10263,10164
100,3370,3270
101,10662,10561
102,10937,10835
103,270,167
104,11238,11134
105,193,88
106,11631,11525
107,108,1
108,9987,9879
109,12577,12468
110,167,57
111,13108,12997
112,13567,13455
113,221,108
114,13827,13713
115,143,28
116,14272,14156
117,14635,14518
118,3488,3370
119,4304,4185
120,15006,14886
121,314,193
122,15302,15180
123,193,70
124,291,167
125,15632,15507
126,16110,15984
127,270,143
128,16512,16384
129,17034,16905
130,238,108
131,17423,17292
132,16644,16512
133,221,88
134,18048,17914
135,449,314
136,193,57
137,586,449
138,5843,5705
139,167,28
140,589,449
141,19136,18995
142,143,1
143,19768,19625
144,20084,19940
145,18193,18048
146,21012,20866
147,314,167
148,291,143
149,21820,21671
150,238,88
151,221,70
152,22730,22578
153,23289,23136
154,25195,25041
155,25608,25453
156,26104,25948
157,26918,26761
158,449,291
159,27274,27115
160,27681,27521
161,28360,28199
162,270,108
163,28711,28548
164,221,57
165,193,28
166,167,1
167,29172,29005
168,238,70
169,26273,26104
170,30172,30002
171,314,143
172,32204,32032
173,32829,32656
174,33327,33153
175,33733,33558
176,35122,34946
177,10164,9987
178,36179,36001
179,449,270
180,36576,36396
181,238,57
182,270,88
183,291,108
184,33917,33733
185,38104,37919
186,38692,38506
187,40472,40285
188,38880,38692
189,43745,43556
190,44480,44290
191,45715,45524
192,193,1
193,221,28
194,46809,46615
195,45910,45715
196,49644,49448
197,50240,50043
198,51213,51015
199,54666,54467
200,270,70
201,3047,2846
202,54868,54666
203,291,88
204,9987,9783
205,60573,60368
206,314,108
207,61090,60883
208,63015,62807
209,65110,64901
210,238,28
211,449,238
212,65934,65722
213,270,57
214,66640,66426
215,66855,66640
216,68172,67956
217,73089,72872
218,73585,73367
219,75320,75101
220,221,1
221,291,70
222,76694,76472
223,77960,77737
224,78464,78240
225,79232,79007
226,314,88
227,6070,5843
228,449,221
229,80199,79970
230,81514,81284
231,83620,83389
232,84162,83930
233,85324,85091
234,291,57
235,86023,85788
236,4304,4068
237,238,1
238,86261,86023
239,89811,89572
240,3047,2807
241,90760,90519
242,270,28
243,93005,92762
244,314,70
245,94169,93924
246,95644,95398
247,95891,95644
248,105485,105237
249,107436,107187
250,109670,109420
251,111296,111045
252,105737,105485
253,112452,112199
254,116609,116355
255,118921,118666
256,449,193
257,314,57
258,119764,119506
259,120506,120247
260,16644,16384
261,16905,16644
262,123380,123118
263,291,28
264,124009,123745
265,125238,124973
266,125969,125703
267,126926,126659
268,130039,129771
269,270,1
270,3640,3370
271,131200,130929
272,132141,131869
273,134163,133890
274,134437,134163
275,141566,141291
276,10263,9987
277,144915,144638
278,146750,146472
279,18193,17914
280,152356,152076
281,153247,152966
282,449,167
283,154813,154530
284,155684,155400
285,157541,157256
286,314,28
287,158888,158601
288,4304,4016
289,160307,160018
290,291,1
291,155975,155684
292,6135,5843
293,165748,165455
294,167015,166721
295,173033,172738
296,174222,173926
297,177493,177196
298,180172,179874
299,182412,182113
300,183933,183633
