n,a_n,b_n
332,103482,103150
333,106083,105750
334,114227,113893
335,401,66
336,115858,115522
337,1159,822
338,117963,117625
339,119959,119620
340,361,21
341,593,252
342,1312,970
343,121458,121115
344,123235,122891
345,123956,123611
346,125201,124855
347,822,475
348,361,13
349,114576,114227
350,127399,127049
351,916,565
352,475,123
353,361,8
354,1016,662
355,128854,128499
356,401,45
357,361,4
358,130891,130533
359,361,2
360,361,1
361,565,204
362,132750,132388
363,135162,134799
364,125565,125201
365,140363,139998
366,141195,140829
367,143951,143584
368,135530,135162
369,149319,148950
370,401,31
371,151460,151089
372,662,290
373,158816,158443
374,775,401
375,159623,159248
376,161212,160836
377,970,593
378,475,97
379,166115,165736
380,401,21
381,149700,149319
382,172007,171625
383,565,182
384,1159,775
385,173490,173105
386,174510,174124
387,177935,177548
388,401,13
389,593,204
390,179864,179474
391,181119,180728
392,183475,183083
393,401,8
394,475,81
395,185089,184694
396,1312,916
397,401,4
398,186351,185953
399,401,2
400,401,1
401,188232,187831
402,191075,190673
403,193063,192660
404,194662,194258
405,970,565
406,196917,196511
407,198426,198019
408,200117,199709
409,475,66
410,662,252
411,593,182
412,205513,205101
413,207342,206929
414,775,361
415,208195,207780
416,210127,209711
417,565,148
418,211085,210667
419,212432,212013
420,213786,213366
421,822,401
422,216871,216449
423,1016,593
424,218776,218352
425,220079,219654
426,23923,23497
427,180291,179864
428,223706,223278
429,226669,226240
430,475,45
431,229333,228902
432,214218,213786
433,235384,234951
434,239123,238689
435,241248,240813
436,244562,244126
437,180728,180291
438,246826,246388
439,248843,248404
440,251940,251500
441,916,475
442,565,123
443,254651,254208
444,475,31
445,593,148
446,259061,258615
447,261440,260993
448,252388,251940
449,265899,265450
450,269625,269175
451,1016,565
452,272524,272072
453,283177,282724
454,475,21
455,29470,29015
456,287149,286693
457,7727,7270
458,662,204
459,289548,289089
460,292573,292113
461,822,361
462,475,13
463,30543,30080
464,294293,293829
465,299473,299008
466,301125,300659
467,475,8
468,565,97
469,299942,299473
470,593,123
471,475,4
472,305093,304621
473,475,2
474,475,1
475,308827,308352
476,315316,314840
477,319031,318554
478,321627,321149
479,327461,326982
480,662,182
481,330575,330094
482,332657,332175
483,335752,335269
484,565,81
485,775,290
486,322113,321627
487,348566,348079
488,353345,352857
489,356253,355764
490,1312,822
491,33268,32777
492,358431,357939
493,360210,359717
494,364508,364014
495,970,475
496,593,97
497,1159,662
498,365947,365449
499,565,66
500,368611,368111
