n,a_n,b_n
1,2,1
2,4,2
3,4,1
4,8,4
5,13,8
6,8,2
7,8,1
8,21,13
9,13,4
10,31,21
11,13,2
12,13,1
13,21,8
14,45,31
15,81,66
16,97,81
17,21,4
18,31,13
19,21,2
20,21,1
21,66,45
22,204,182
23,31,8
24,45,21
25,148,123
26,123,97
27,31,4
28,593,565
29,31,2
30,31,1
31,97,66
32,45,13
33,1651,1618
34,182,148
35,66,31
36,81,45
37,45,8
38,290,252
39,1891,1852
40,401,361
41,45,4
42,123,81
43,45,2
44,45,1
45,66,21
46,1016,970
47,822,775
48,252,204
49,2225,2176
50,81,31
51,148,97
52,97,45
53,66,13
54,970,916
55,2594,2539
56,204,148
57,123,66
58,66,8
59,182,123
60,81,21
61,2811,2750
62,66,4
63,3292,3229
64,66,2
65,66,1
66,97,31
67,148,81
68,81,13
69,662,593
70,252,182
71,361,290
72,3598,3526
73,81,8
74,475,401
75,4005,3930
76,97,21
77,81,4
78,123,45
79,81,2
80,81,1
81,204,123
82,148,66
83,4221,4138
84,97,13
85,182,97
86,290,204
87,4436,4349
88,5015,4927
89,97,8
90,565,475
91,5373,5282
92,123,31
93,97,4
94,916,822
95,97,2
96,97,1
97,662,565
98,5697,5599
99,5924,5825
100,1016,916
101,182,81
102,123,21
103,148,45
104,252,148
105,6157,6052
106,6560,6454
107,204,97
108,290,182
109,361,252
110,123,13
111,401,290
112,7000,6888
113,775,662
114,475,361
115,123,8
116,182,66
117,148,31
118,593,475
119,123,4
120,7270,7150
121,123,2
122,123,1
123,204,81
124,7602,7478
125,7727,7602
126,8302,8176
127,148,21
128,8729,8601
129,252,123
130,8991,8861
131,9439,9308
132,9785,9653
133,10154,10021
134,10288,10154
135,148,13
136,10844,10708
137,182,45
138,204,66
139,11319,11180
140,148,8
141,916,775
142,290,148
143,1159,1016
144,148,4
145,11775,11630
146,148,2
147,148,1
148,970,822
149,401,252
150,12320,12170
151,182,31
152,12769,12617
153,1312,1159
154,13287,13133
155,252,97
156,13615,13459
157,361,204
158,14067,13909
159,204,45
160,822,662
161,182,21
162,14469,14307
163,14905,14742
164,565,401
165,15271,15106
166,15718,15552
167,290,123
168,16249,16081
169,182,13
170,16768,16598
171,252,81
172,17196,17024
173,204,31
174,182,8
175,17772,17597
176,18200,18024
177,18602,18425
178,182,4
179,361,182
180,182,2
181,182,1
182,775,593
183,204,21
184,18984,18800
185,475,290
186,252,66
187,662,475
188,19419,19231
189,1159,970
190,19845,19655
191,204,13
192,593,401
193,290,97
194,1016,822
195,970,775
196,204,8
197,401,204
198,20261,20063
199,20750,20551
200,204,4
201,21257,21056
202,204,2
203,204,1
204,565,361
205,21677,21472
206,22185,21979
207,252,45
208,22666,22458
209,290,81
210,775,565
211,23191,22980
212,23709,23497
213,361,148
214,23923,23709
215,24614,24399
216,25121,24905
217,25600,25383
218,26168,25950
219,401,182
220,26752,26532
221,252,31
222,27462,27240
223,475,252
224,290,66
225,28018,27793
226,28569,28343
227,29242,29015
228,29470,29242
229,822,593
230,30310,30080
231,252,21
232,593,361
233,30543,30310
234,31635,31401
235,33012,32777
236,34568,34332
237,35544,35307
238,361,123
239,252,13
240,36408,36168
241,1016,775
242,37115,36873
243,1159,916
244,252,8
245,290,45
246,38007,37761
247,38931,38684
248,252,4
249,7727,7478
250,252,2
251,252,1
252,39617,39365
253,401,148
254,916,662
255,40363,40108
256,33268,33012
257,822,565
258,41196,40938
259,290,31
260,42009,41749
261,662,401
262,42874,42612
263,41459,41196
264,361,97
265,44258,43993
266,45263,44997
267,10288,10021
268,46049,45781
269,290,21
270,47699,47429
271,475,204
272,48781,48509
273,50730,50457
274,52088,51814
275,565,290
276,52795,52519
277,290,13
278,401,123
279,53740,53461
280,361,81
281,54499,54218
282,290,8
283,46332,46049
284,49065,48781
285,59338,59053
286,290,4
287,61487,61200
288,290,2
289,290,1
290,41749,41459
291,62889,62598
292,64670,64378
293,475,182
294,65700,65406
295,361,66
296,1312,1016
297,66843,66546
298,67740,67442
299,68384,68085
300,775,475
301,662,361
302,69810,69508
303,593,290
304,401,97
305,71060,70755
306,72329,72023
307,73329,73022
308,970,662
309,73638,73329
310,75902,75592
311,78509,78198
312,79338,79026
313,565,252
314,80356,80042
315,81517,81202
316,361,45
317,83096,82779
318,84356,84038
319,86002,85683
320,401,81
321,86858,86537
322,87863,87541
323,916,593
324,88187,87863
325,89353,89028
326,92716,92390
327,475,148
328,89681,89353
329,97738,97409
330,361,31
331,103150,102819
