n,a_n,b_n
332,125929,125597
333,128276,127943
334,130109,129775
335,401,66
336,132645,132309
337,1159,822
338,133808,133470
339,136786,136447
340,361,21
341,593,252
342,1312,970
343,138728,138385
344,5123,4779
345,139758,139413
346,4779,4433
347,822,475
348,361,13
349,141251,140902
350,2379,2029
351,916,565
352,475,123
353,361,8
354,1016,662
355,142579,142224
356,401,45
357,361,4
358,2254,1896
359,361,2
360,361,1
361,565,204
362,145225,144863
363,146763,146400
364,1523,1159
365,148946,148581
366,150034,149668
367,141618,141251
368,151465,151097
369,152323,151954
370,401,31
371,157044,156673
372,662,290
373,1896,1523
374,775,401
375,3155,2780
376,6374,5998
377,970,593
378,475,97
379,1395,1016
380,401,21
381,158534,158153
382,160361,159979
383,565,182
384,1159,775
385,162445,162060
386,150420,150034
387,165947,165560
388,401,13
389,593,204
390,167243,166853
391,169520,169129
392,5243,4851
393,401,8
394,475,81
395,169915,169520
396,1312,916
397,401,4
398,173993,173595
399,401,2
400,401,1
401,2780,2379
402,177387,176985
403,179495,179092
404,181062,180658
405,970,565
406,182857,182451
407,3998,3591
408,186870,186462
409,475,66
410,662,252
411,593,182
412,190404,189992
413,1572,1159
414,775,361
415,2925,2510
416,192398,191982
417,565,148
418,4851,4433
419,194437,194018
420,198055,197635
421,822,401
422,200103,199681
423,1016,593
424,202557,202133
425,1395,970
426,1821,1395
427,6801,6374
428,204616,204188
429,3354,2925
430,475,45
431,206876,206445
432,205048,204616
433,2254,1821
434,210357,209923
435,4433,3998
436,3591,3155
437,212646,212209
438,216405,215967
439,217950,217511
440,221730,221290
441,916,475
442,565,123
443,3797,3354
444,475,31
445,593,148
446,224150,223704
447,5298,4851
448,227490,227042
449,230109,229660
450,231976,231526
451,1016,565
452,235734,235282
453,5751,5298
454,475,21
455,237029,236574
456,239237,238781
457,2029,1572
458,662,204
459,241269,240810
460,243326,242866
461,822,361
462,475,13
463,244838,244375
464,5243,4779
465,245303,244838
466,249756,249290
467,475,8
468,565,97
469,252576,252107
470,593,123
471,475,4
472,255144,254672
473,475,2
474,475,1
475,257864,257389
476,259825,259349
477,262849,262372
478,265691,265213
479,1395,916
480,662,182
481,2510,2029
482,4779,4297
483,2379,1896
484,565,81
485,775,290
486,62795,62309
487,269551,269064
488,271526,271038
489,274119,273630
490,1312,822
491,277661,277170
492,279742,279250
493,280860,280367
494,283316,282822
495,970,475
496,593,97
497,1159,662
498,286281,285783
499,565,66
500,4297,3797
