n,a_n,b_n
1,2,1
2,4,2
3,4,1
4,8,4
5,13,8
6,8,2
7,8,1
8,21,13
9,13,4
10,31,21
11,13,2
12,13,1
13,21,8
14,45,31
15,81,66
16,97,81
17,21,4
18,31,13
19,21,2
20,21,1
21,66,45
22,204,182
23,31,8
24,45,21
25,148,123
26,123,97
27,31,4
28,593,565
29,31,2
30,31,1
31,97,66
32,45,13
33,8285,8252
34,182,148
35,66,31
36,81,45
37,45,8
38,290,252
39,10231,10192
40,401,361
41,45,4
42,123,81
43,45,2
44,45,1
45,66,21
46,1016,970
47,822,775
48,252,204
49,1572,1523
50,81,31
51,148,97
52,97,45
53,66,13
54,970,916
55,5298,5243
56,204,148
57,123,66
58,66,8
59,182,123
60,81,21
61,11433,11372
62,66,4
63,12848,12785
64,66,2
65,66,1
66,97,31
67,148,81
68,81,13
69,662,593
70,252,182
71,361,290
72,4851,4779
73,81,8
74,475,401
75,1896,1821
76,97,21
77,81,4
78,123,45
79,81,2
80,81,1
81,204,123
82,148,66
83,1395,1312
84,97,13
85,182,97
86,290,204
87,7547,7460
88,13989,13901
89,97,8
90,565,475
91,14539,14448
92,123,31
93,97,4
94,916,822
95,97,2
96,97,1
97,662,565
98,16029,15931
99,16449,16350
100,1016,916
101,182,81
102,123,21
103,148,45
104,252,148
105,18339,18234
106,18922,18816
107,204,97
108,290,182
109,361,252
110,123,13
111,401,290
112,19034,18922
113,775,662
114,475,361
115,123,8
116,182,66
117,148,31
118,593,475
119,123,4
120,5243,5123
121,123,2
122,123,1
123,204,81
124,6925,6801
125,2379,2254
126,21363,21237
127,148,21
128,1523,1395
129,252,123
130,22276,22146
131,2510,2379
132,22911,22779
133,2029,1896
134,25076,24942
135,148,13
136,4433,4297
137,182,45
138,204,66
139,25467,25328
140,148,8
141,916,775
142,290,148
143,1159,1016
144,148,4
145,2925,2780
146,148,2
147,148,1
148,970,822
149,401,252
150,26833,26683
151,182,31
152,27620,27468
153,1312,1159
154,29492,29338
155,252,97
156,30611,30455
157,361,204
158,31632,31474
159,204,45
160,822,662
161,182,21
162,32716,32554
163,16612,16449
164,565,401
165,33663,33498
166,35114,34948
167,290,123
168,36476,36308
169,182,13
170,37718,37548
171,252,81
172,39428,39256
173,204,31
174,182,8
175,5298,5123
176,40600,40424
177,1572,1395
178,182,4
179,361,182
180,182,2
181,182,1
182,775,593
183,204,21
184,41361,41177
185,475,290
186,252,66
187,662,475
188,41971,41783
189,1159,970
190,43580,43390
191,204,13
192,593,401
193,290,97
194,1016,822
195,970,775
196,204,8
197,401,204
198,44983,44785
199,3354,3155
200,204,4
201,3998,3797
202,204,2
203,204,1
204,565,361
205,45930,45725
206,3797,3591
207,252,45
208,2029,1821
209,290,81
210,775,565
211,1523,1312
212,46957,46745
213,361,148
214,48281,48067
215,49353,49138
216,50418,50202
217,51707,51490
218,19034,18816
219,401,182
220,53141,52921
221,252,31
222,54693,54471
223,475,252
224,290,66
225,2254,2029
226,55621,55395
227,56081,55854
228,58165,57937
229,822,593
230,3155,2925
231,252,21
232,593,361
233,59022,58789
234,60659,60425
235,61381,61146
236,1395,1159
237,3591,3354
238,361,123
239,252,13
240,62549,62309
241,1016,775
242,64566,64324
243,1159,916
244,252,8
245,290,45
246,62795,62549
247,5998,5751
248,252,4
249,1821,1572
250,252,2
251,252,1
252,66047,65795
253,401,148
254,916,662
255,67138,66883
256,2510,2254
257,822,565
258,68344,68086
259,290,31
260,1572,1312
261,662,401
262,16612,16350
263,68973,68710
264,361,97
265,70791,70526
266,72134,71868
267,73071,72804
268,73857,73589
269,290,21
270,2780,2510
271,475,204
272,5123,4851
273,75066,74793
274,76422,76148
275,565,290
276,78264,77988
277,290,13
278,401,123
279,79740,79461
280,361,81
281,80021,79740
282,290,8
283,81076,80793
284,82346,82062
285,84059,83774
286,290,4
287,86228,85941
288,290,2
289,290,1
290,87095,86805
291,88568,88277
292,90446,90154
293,475,182
294,91287,90993
295,361,66
296,1312,1016
297,84356,84059
298,1821,1523
299,4297,3998
300,775,475
301,662,361
302,93093,92791
303,593,290
304,401,97
305,94959,94654
306,96838,96532
307,98411,98104
308,970,662
309,99195,98886
310,100826,100516
311,101865,101554
312,104496,104184
313,565,252
314,105128,104814
315,106785,106470
316,361,45
317,108127,107810
318,110458,110140
319,110777,110458
320,401,81
321,105449,105128
322,113076,112754
323,916,593
324,1896,1572
325,115645,115320
326,118536,118210
327,475,148
328,121057,120729
329,122613,122284
330,361,31
331,123868,123537
