n,a_n,b_n
1,2,1
2,4,2
3,4,1
4,8,4
5,13,8
6,8,2
7,8,1
8,21,13
9,13,4
10,31,21
11,13,2
12,13,1
13,21,8
14,45,31
15,81,66
16,97,81
17,21,4
18,31,13
19,21,2
20,21,1
21,66,45
22,204,182
23,31,8
24,45,21
25,148,123
26,123,97
27,31,4
28,593,565
29,31,2
30,31,1
31,97,66
32,45,13
33,34124,34091
34,182,148
35,66,31
36,81,45
37,45,8
38,290,252
39,19670,19631
40,401,361
41,45,4
42,123,81
43,45,2
44,45,1
45,66,21
46,1016,970
47,822,775
48,252,204
49,1572,1523
50,81,31
51,148,97
52,97,45
53,66,13
54,970,916
55,5298,5243
56,204,148
57,123,66
58,66,8
59,182,123
60,81,21
61,37625,37564
62,66,4
63,38754,38691
64,66,2
65,66,1
66,97,31
67,148,81
68,81,13
69,662,593
70,252,182
71,361,290
72,4851,4779
73,81,8
74,475,401
75,1896,1821
76,97,21
77,81,4
78,123,45
79,81,2
80,81,1
81,204,123
82,148,66
83,1395,1312
84,97,13
85,182,97
86,290,204
87,7547,7460
88,41579,41491
89,97,8
90,565,475
91,42766,42675
92,123,31
93,97,4
94,916,822
95,97,2
96,97,1
97,662,565
98,45714,45616
99,50604,50505
100,1016,916
101,182,81
102,123,21
103,148,45
104,252,148
105,51295,51190
106,55221,55115
107,204,97
108,290,182
109,361,252
110,123,13
111,401,290
112,56427,56315
113,775,662
114,475,361
115,123,8
116,182,66
117,148,31
118,593,475
119,123,4
120,5243,5123
121,123,2
122,123,1
123,204,81
124,6925,6801
125,2379,2254
126,59752,59626
127,148,21
128,1523,1395
129,252,123
130,62408,62278
131,2510,2379
132,65926,65794
133,2029,1896
134,68026,67892
135,148,13
136,4433,4297
137,182,45
138,204,66
139,70462,70323
140,148,8
141,916,775
142,290,148
143,1159,1016
144,148,4
145,2925,2780
146,148,2
147,148,1
148,970,822
149,401,252
150,73989,73839
151,182,31
152,75017,74865
153,1312,1159
154,77678,77524
155,252,97
156,79363,79207
157,361,204
158,12034,11876
159,204,45
160,822,662
161,182,21
162,83060,82898
163,86452,86289
164,565,401
165,87681,87516
166,92342,92176
167,290,123
168,92510,92342
169,182,13
170,95610,95440
171,252,81
172,24768,24596
173,204,31
174,182,8
175,5298,5123
176,98047,97871
177,1572,1395
178,182,4
179,361,182
180,182,2
181,182,1
182,775,593
183,204,21
184,100937,100753
185,475,290
186,252,66
187,662,475
188,104101,103913
189,1159,970
190,107017,106827
191,204,13
192,593,401
193,290,97
194,1016,822
195,970,775
196,204,8
197,401,204
198,108964,108766
199,3354,3155
200,204,4
201,3998,3797
202,204,2
203,204,1
204,565,361
205,109699,109494
206,3797,3591
207,252,45
208,2029,1821
209,290,81
210,775,565
211,1523,1312
212,8942,8730
213,361,148
214,115250,115036
215,117855,117640
216,120254,120038
217,122315,122098
218,26255,26037
219,401,182
220,126365,126145
221,252,31
222,129893,129671
223,475,252
224,290,66
225,2254,2029
226,19071,18845
227,8730,8503
228,132442,132214
229,822,593
230,3155,2925
231,252,21
232,593,361
233,134796,134563
234,138043,137809
235,140525,140290
236,1395,1159
237,3591,3354
238,361,123
239,252,13
240,142366,142126
241,1016,775
242,7789,7547
243,1159,916
244,252,8
245,290,45
246,145178,144932
247,5998,5751
248,252,4
249,1821,1572
250,252,2
251,252,1
252,148850,148598
253,401,148
254,916,662
255,149450,149195
256,2510,2254
257,822,565
258,151032,150774
259,290,31
260,1572,1312
261,662,401
262,11876,11614
263,156599,156336
264,361,97
265,15166,14901
266,158735,158469
267,163864,163597
268,165598,165330
269,290,21
270,2780,2510
271,475,204
272,5123,4851
273,23564,23291
274,168311,168037
275,565,290
276,170485,170209
277,290,13
278,401,123
279,173862,173583
280,361,81
281,176713,176432
282,290,8
283,8503,8220
284,15972,15688
285,180305,180020
286,290,4
287,182401,182114
288,290,2
289,290,1
290,185578,185288
291,187870,187579
292,191343,191051
293,475,182
294,193735,193441
295,361,66
296,1312,1016
297,194683,194386
298,1821,1523
299,4297,3998
300,775,475
301,662,361
302,198397,198095
303,593,290
304,401,97
305,201797,201492
306,206415,206109
307,207866,207559
308,970,662
309,211364,211055
310,215066,214756
311,10898,10587
312,216178,215866
313,565,252
314,217771,217457
315,222843,222528
316,361,45
317,23881,23564
318,10200,9882
319,225154,224835
320,401,81
321,227105,226784
322,228536,228214
323,916,593
324,1896,1572
325,11614,11289
326,233606,233280
327,475,148
328,237288,236960
329,7789,7460
330,361,31
331,120585,120254
