n,a_n,b_n
332,241800,241468
333,244800,244467
334,92510,92176
335,401,66
336,246296,245960
337,1159,822
338,248530,248192
339,251815,251476
340,361,21
341,593,252
342,1312,970
343,254100,253757
344,5123,4779
345,256887,256542
346,4779,4433
347,822,475
348,361,13
349,260501,260152
350,2379,2029
351,916,565
352,475,123
353,361,8
354,1016,662
355,262975,262620
356,401,45
357,361,4
358,2254,1896
359,361,2
360,361,1
361,565,204
362,202159,201797
363,267031,266668
364,1523,1159
365,269080,268715
366,273111,272745
367,14901,14534
368,274963,274595
369,276805,276436
370,401,31
371,282735,282364
372,662,290
373,1896,1523
374,775,401
375,3155,2780
376,6374,5998
377,970,593
378,475,97
379,1395,1016
380,401,21
381,284455,284074
382,288899,288517
383,565,182
384,1159,775
385,290958,290573
386,294034,293648
387,10587,10200
388,401,13
389,593,204
390,295442,295052
391,11289,10898
392,5243,4851
393,401,8
394,475,81
395,299412,299017
396,1312,916
397,401,4
398,301672,301274
399,401,2
400,401,1
401,2780,2379
402,166000,165598
403,304803,304400
404,310111,309707
405,970,565
406,26037,25631
407,3998,3591
408,312230,311822
409,475,66
410,662,252
411,593,182
412,315177,314765
413,1572,1159
414,775,361
415,2925,2510
416,319932,319516
417,565,148
418,4851,4433
419,321875,321456
420,12034,11614
421,822,401
422,324480,324058
423,1016,593
424,328532,328108
425,1395,970
426,1821,1395
427,6801,6374
428,331154,330726
429,3354,2925
430,475,45
431,8220,7789
432,333871,333439
433,2254,1821
434,335732,335298
435,4433,3998
436,3591,3155
437,342662,342225
438,344229,343791
439,8942,8503
440,347414,346974
441,916,475
442,565,123
443,3797,3354
444,475,31
445,593,148
446,350944,350498
447,5298,4851
448,353778,353330
449,357474,357025
450,360509,360059
451,1016,565
452,363724,363272
453,5751,5298
454,475,21
455,365313,364858
456,370269,369813
457,2029,1572
458,662,204
459,372140,371681
460,374994,374534
461,822,361
462,475,13
463,13394,12931
464,5243,4779
465,377408,376943
466,382254,381788
467,475,8
468,565,97
469,385971,385502
470,593,123
471,475,4
472,389738,389266
473,475,2
474,475,1
475,392798,392323
476,395153,394677
477,398529,398052
478,401807,401329
479,1395,916
480,662,182
481,2510,2029
482,4779,4297
483,2379,1896
484,565,81
485,775,290
486,404203,403717
487,14534,14047
488,409758,409270
489,412186,411697
490,1312,822
491,414948,414457
492,417063,416571
493,419911,419418
494,56921,56427
495,970,475
496,593,97
497,1159,662
498,423111,422613
499,565,66
500,4297,3797
