n,a_n,b_n,ratio_n2,ratio_n2logn,ratio_n2p5
1,2,1,2.00000000,2.88539008,2.00000000
2,4,2,1.00000000,1.44269504,0.70710678
3,4,1,0.44444444,0.40455077,0.25660012
4,8,4,0.50000000,0.36067376,0.25000000
5,13,8,0.52000000,0.32309417,0.23255107
6,8,2,0.22222222,0.12402458,0.09072184
7,8,1,0.16326531,0.08390177,0.06170849
8,21,13,0.32812500,0.15779477,0.11600971
9,13,4,0.16049383,0.07304389,0.05349794
10,31,21,0.31000000,0.13463129,0.09803061
11,13,2,0.10743802,0.04480513,0.03239378
12,13,1,0.09027778,0.03633045,0.02606095
13,21,8,0.12426036,0.04844554,0.03446362
14,45,31,0.22959184,0.08699767,0.06136100
15,105,90,0.46666667,0.17232571,0.12049282
16,121,105,0.47265625,0.17047471,0.11816406
17,21,4,0.07266436,0.02564733,0.01762370
18,31,13,0.09567901,0.03310267,0.02255176
19,21,2,0.05817175,0.01975648,0.01334551
20,21,1,0.05250000,0.01752493,0.01173936
21,263,242,0.59637188,0.19588356,0.13013901
22,548,526,1.13223140,0.36629436,0.24139255
23,31,8,0.05860113,0.01868960,0.01221918
24,45,21,0.07812500,0.02458265,0.01594720
25,573,548,0.91680000,0.28481993,0.18336000
26,599,573,0.88609467,0.27196698,0.17377746
27,31,4,0.04252401,0.01290234,0.00818375
28,291,263,0.37117347,0.11138976,0.07014519
29,31,2,0.03686088,0.01094673,0.00684489
30,31,1,0.03444444,0.01012715,0.00628867
31,121,90,0.12591051,0.03666598,0.02261420
32,45,13,0.04394531,0.01267994,0.00776851
33,1231,1198,1.13039486,0.32329255,0.19677649
34,1265,1231,1.09429066,0.31031729,0.18766930
35,2565,2530,2.09387755,0.58893743,0.35392990
36,2601,2565,2.00694444,0.56004851,0.33449074
37,45,8,0.03287071,0.00910314,0.00540391
38,5240,5202,3.62880886,0.99758705,0.58867053
39,10519,10480,6.91584484,1.88773808,1.10742147
40,10559,10519,6.59937500,1.78899177,1.04345281
41,45,4,0.02676978,0.00720863,0.00418074
42,641,599,0.36337868,0.09722065,0.05607055
43,45,2,0.02433748,0.00647067,0.00371143
44,45,1,0.02324380,0.00614235,0.00350413
45,90,45,0.04444444,0.01167544,0.00662539
46,21164,21118,10.00189036,2.61238631,1.47469828
47,573,526,0.25939339,0.06737232,0.03783641
48,21212,21164,9.20659722,2.37822763,1.32885785
49,291,242,0.12119950,0.03114211,0.01731421
50,21262,21212,8.50480000,2.17401585,1.20276035
51,599,548,0.23029604,0.05857229,0.03224790
52,21314,21262,7.88239645,1.99491528,1.09309171
53,21367,21314,7.60662157,1.91588471,1.04484983
54,42788,42734,14.67352538,3.67851192,1.99681388
55,42843,42788,14.16297521,3.53426445,1.90973519
56,42899,42843,13.67952806,3.39834358,1.82800383
57,5297,5240,1.63034780,0.40324688,0.21594484
58,42957,42899,12.76961950,3.14488332,1.67673319
59,90,31,0.02585464,0.00634075,0.00336599
60,105,45,0.02916667,0.00712365,0.00376540
61,85975,85914,23.10534802,5.62054414,2.95833667
62,86037,85975,22.38215401,5.42317064,2.84253640
63,172137,172074,43.37037037,10.46800870,5.46415306
64,172201,172137,42.04125977,10.10878616,5.25515747
