n,a_n,b_n,ratio_n2,ratio_n2logn,ratio_n2p5
65,172266,172201,40.77301775,9.76742576,5.05727044
66,172332,172266,39.56198347,9.44277892,4.86974353
67,1265,1198,0.28179996,0.06702035,0.03442734
68,641,573,0.13862457,0.03285326,0.01681070
69,90,21,0.01890359,0.00446460,0.00227573
70,43027,42957,8.78102041,2.06685424,1.04953268
71,2601,2530,0.51596905,0.12104335,0.06123426
72,10631,10559,2.05073302,0.47951675,0.24168120
73,599,526,0.11240383,0.02619855,0.01315587
74,105,31,0.01917458,0.00445499,0.00222900
75,344739,344664,61.28693333,14.19504391,7.07680549
76,121,45,0.02094875,0.00483723,0.00240299
77,90,13,0.01517963,0.00349455,0.00172988
78,344817,344739,56.67603550,13.00891057,6.41729734
79,10559,10480,1.69187630,0.38720597,0.19035096
80,689714,689634,107.76781250,24.59314411,12.04880773
81,689795,689714,105.13565005,23.92464820,11.68173889
82,90,8,0.01338489,0.00303738,0.00147811
83,689878,689795,100.14196545,22.66249778,10.99200873
84,105,21,0.01488095,0.00335851,0.00162365
85,86122,86037,11.92000000,2.68308254,1.29290553
86,90,4,0.01216874,0.00273188,0.00131219
87,43114,43027,5.69612895,1.27546935,0.61068912
88,90,2,0.01162190,0.00259572,0.00123890
89,90,1,0.01136220,0.00253133,0.00120439
90,121,31,0.01493827,0.00331976,0.00157463
91,1379847,1379756,166.62806424,36.93931589,17.46736731
92,105,13,0.01240548,0.00274349,0.00129336
93,641,548,0.07411261,0.01635102,0.00768512
94,21212,21118,2.40063377,0.52839049,0.24760647
95,5297,5202,0.58692521,0.12888473,0.06021726
96,1379943,1379847,149.73339844,32.80499036,15.28210098
97,105,8,0.01115953,0.00243940,0.00113308
98,21262,21164,2.21386922,0.48285385,0.22363456
99,5396,5297,0.55055607,0.11981321,0.05533297
100,121,21,0.01210000,0.00262748,0.00121000
101,105,4,0.01029311,0.00223030,0.00102420
102,21314,21212,2.04863514,0.44295074,0.20284511
103,105,2,0.00989726,0.00213546,0.00097521
104,105,1,0.00970784,0.00209023,0.00095193
105,21367,21262,1.93804989,0.41643025,0.18913430
106,2759992,2759886,245.63830545,52.67320973,23.85850133
107,2760099,2759992,241.07773605,51.59139027,23.30586441
108,121,13,0.01037380,0.00221561,0.00099822
109,42843,42734,3.60600960,0.76865108,0.34539308
110,2760209,2760099,228.11644628,48.53045402,21.75004975
111,42899,42788,3.48177908,0.73930497,0.33047584
112,10631,10519,0.84749681,0.17961153,0.08008092
113,121,8,0.00947607,0.00200451,0.00089143
114,42957,42843,3.30540166,0.69790185,0.30957923
115,641,526,0.04846881,0.01021486,0.00451974
116,2760325,2760209,205.13711356,43.15414356,19.04650284
117,121,4,0.00883921,0.00185613,0.00081719
118,1380061,1379943,99.11383223,20.77559932,9.12416782
119,121,2,0.00854459,0.00178790,0.00078328
120,121,1,0.00840278,0.00175515,0.00076707
121,242,121,0.01652893,0.00344655,0.00150263
122,344939,344817,23.17515453,4.82411595,2.09817990
123,86037,85914,5.68689272,1.18176950,0.51276985
124,690002,689878,44.87526015,9.30967611,4.02991733
125,1380186,1380061,88.33190400,18.29456593,7.90064568
126,5520776,5520650,347.74351222,71.90306912,30.97945431
127,172201,172074,10.67648335,2.20397833,0.94738470
128,43027,42899,2.62615967,0.54124965,0.23212191
129,172266,172137,10.35190193,2.13010319,0.91143414
130,5520906,5520776,326.68082840,67.11423036,28.65180403
131,172332,172201,10.04207214,2.05982886,0.87737992
132,1397,1265,0.08017677,0.01642024,0.00697849
133,1530,1397,0.08649443,0.01768676,0.00750002
134,5521040,5520906,307.47605257,62.77789089,26.56188534
135,1665,1530,0.09135802,0.01862445,0.00786285
136,2760461,2760325,149.24637760,30.37998416,12.79777130
137,242,105,0.01289360,0.00262066,0.00110157
138,2739,2601,0.14382483,0.02918965,0.01224318
139,5521179,5521040,285.76051964,57.91104047,24.23789093
140,5521319,5521179,281.69994898,57.00532837,23.80799104
141,11042779,11042638,555.44384085,112.23899586,46.77680976
142,263,121,0.01304305,0.00263186,0.00109455
143,22085701,22085558,1080.03819258,217.62482468,90.31733090
144,21262,21118,1.02536651,0.20631892,0.08544721
145,44171547,44171402,2100.90592152,422.14553365,174.47074038
146,44171693,44171547,2072.23179771,415.80966457,171.49912383
147,86122,85975,3.98546902,0.79862195,0.32871594
148,86270,86122,3.93855004,0.78814944,0.32374682
149,1380335,1380186,62.17445160,12.42508368,5.09352954
150,21314,21164,0.94728889,0.18905565,0.07734581
151,10631,10480,0.46625148,0.09292914,0.03794301
152,242,90,0.01047438,0.00208492,0.00084958
153,344817,344664,14.73010381,2.92819513,1.19085831
154,44171847,44171693,1862.53360600,369.77389962,150.08723510
155,21367,21212,0.88936524,0.17634152,0.07143554
156,5396,5240,0.22172913,0.04390801,0.01775254
157,43114,42957,1.74911761,0.34593208,0.13959478
158,263,105,0.01053517,0.00208098,0.00083813
159,44172006,44171847,1747.24124837,344.69802124,138.56524427
160,44172166,44172006,1725.47523437,339.98347588,136.41079467
161,689795,689634,26.61143474,5.23702363,2.09727486
162,88344494,88344332,3366.27396738,661.66294367,264.47946107
163,88344657,88344494,3325.10282660,652.78089728,260.44215362
164,689878,689714,25.64983641,5.02951141,2.00291572
165,42899,42734,1.57572084,0.30860511,0.12266970
166,1397,1231,0.05069676,0.00991723,0.00393483
167,88344824,88344657,3167.73007279,618.93980120,245.12631247
168,88344992,88344824,3130.13718821,610.88196576,241.49532699
169,42957,42788,1.50404398,0.29319175,0.11569569
170,291,121,0.01006920,0.00196059,0.00077227
171,22085872,22085701,755.30494853,146.89894433,57.75961302
172,88345164,88344992,2986.24810708,580.13624309,227.69928349
173,263,90,0.00878746,0.00170521,0.00066810
174,2739,2565,0.09046770,0.01753571,0.00685834
175,88345339,88345164,2884.74576327,558.54120148,218.06628244
176,88345515,88345339,2852.06337164,551.60471909,214.98236550
177,22086049,22085872,704.97140030,136.19609878,52.98889529
178,5574,5396,0.17592476,0.03395062,0.01318612
179,11042958,11042779,344.65085359,66.44018133,25.76041427
180,176691210,176691030,5453.43240741,1050.15939165,406.47485246
181,176691391,176691210,5393.34547175,1037.48168736,400.88421178
182,44172348,44172166,1333.54510325,256.25353376,98.84893965
183,22086232,22086049,659.50706202,126.59733468,48.75216486
184,43027,42843,1.27088256,0.24370052,0.09369071
185,345124,344939,10.08397370,1.93166406,0.74138849
186,291,105,0.00841138,0.00160960,0.00061675
187,1379943,1379756,39.46189482,7.54369632,2.88573955
188,176691579,176691391,4999.19587483,954.69326507,364.60383189
189,176691768,176691579,4946.43957336,943.66240094,359.80053596
190,176691958,176691768,4894.51407202,932.81715592,355.08537151
191,176692149,176691958,4843.40201749,922.15344152,350.45627031
192,172266,172074,4.67301432,0.88882899,0.33724576
193,176692342,176692149,4743.54592070,901.35382294,341.44790681
194,5396,5202,0.14337337,0.02721663,0.01029361
195,172332,172137,4.53207101,0.85948632,0.32454835
196,21314,21118,0.55482091,0.10511725,0.03963006
197,242,45,0.00623567,0.00118028,0.00044427
198,176692540,176692342,4507.00285685,852.26461347,320.29874590
199,1397,1198,0.03527689,0.00666444,0.00250071
200,344939,344739,8.62347500,1.62758748,0.60977176
201,291,90,0.00720279,0.00135817,0.00050805
202,2760663,2760461,67.65667582,12.74552823,4.76030710
203,21367,21164,0.51850324,0.09758764,0.03639179
204,345328,345124,8.29796232,1.56031875,0.58097357
205,690207,690002,16.42372397,3.08542047,1.14708264
206,353385286,353385080,8327.48812329,1563.00331680,580.20359016
207,690002,689795,16.10310626,3.01968037,1.11924326
208,86122,85914,1.99061575,0.37294643,0.13802437
209,2739,2530,0.06270461,0.01173731,0.00433737
210,353385496,353385286,8013.27655329,1498.61892757,552.96861669
211,242,31,0.00543564,0.00101565,0.00037420
212,706771204,706770992,15725.59638661,2935.74966970,1080.03839405
213,2760099,2759886,60.83667262,11.34738991,4.16846012
214,1380061,1379847,30.13496812,5.61593418,2.05998401
215,43114,42899,0.93269876,0.17366629,0.06360953
216,706771420,706771204,15148.56438615,2818.19158697,1030.72925227
217,2760209,2759992,58.61685319,10.89553375,3.97917128
218,263,45,0.00553405,0.00102777,0.00037481
219,706771639,706771420,14736.38245658,2734.49365594,995.79244483
220,176692760,176692540,3650.67685950,676.85001015,246.12858366
221,242,21,0.00495485,0.00091788,0.00033330
222,706771861,706771639,14340.79743933,2654.38715394,962.49130380
223,42957,42734,0.86382191,0.15975485,0.05784579
224,176692984,176692760,3521.46412628,650.71959484,235.28771893
225,5521544,5521319,109.06753580,20.13765028,7.27116905
226,2760325,2760099,54.04348422,9.97013841,3.59491910
227,706772088,706771861,13716.00628772,2528.31938424,910.36331152
228,706772316,706772088,13595.95867959,2504.16157098,900.41435982
229,242,13,0.00461471,0.00084927,0.00030495
230,88345745,88345515,1670.05189036,307.10326119,110.11996061
231,1413544863,1413544632,26490.22437735,4867.36332754,1742.92880289
232,263,31,0.00488630,0.00089711,0.00032080
233,86270,86037,1.58908803,0.29152024,0.10410462
234,242,8,0.00441961,0.00081015,0.00028892
235,526,291,0.00952467,0.00174458,0.00062132
236,353385732,353385496,6344.90326056,1161.25523021,413.01802289
237,2827089963,2827089726,50331.85499119,9204.70033103,3269.40531042
238,242,4,0.00427230,0.00078072,0.00027693
239,43027,42788,0.75326062,0.13754508,0.04872438
240,242,2,0.00420139,0.00076659,0.00027120
241,242,1,0.00416659,0.00075966,0.00026839
242,263,21,0.00449081,0.00081816,0.00028868
243,1380186,1379943,23.37357110,4.25510826,1.49941529
244,689878,689634,11.58757726,2.10791753,0.74181862
245,2827090208,2827089963,47098.54573928,8561.41339612,3009.01571184
246,291,45,0.00480865,0.00087345,0.00030659
247,5654180663,5654180416,92677.81250307,16821.79705629,5896.94799616
248,1413545111,1413544863,22982.97852172,4168.54548773,1459.42059555
249,21367,21118,0.34462347,0.06246061,0.02183963
250,263,13,0.00420800,0.00076212,0.00026614
251,11308361577,11308361326,179494.95368327,32485.11129505,11329.62101492
252,2760461,2760209,43.46908856,7.86140628,2.73829519
253,353385985,353385732,5520.87964193,997.73920726,347.09472925
254,2827090462,2827090208,43819.98980098,7913.55328899,2749.51069817
255,263,8,0.00404460,0.00072991,0.00025328
256,5520906,5520650,84.24234009,15.19200078,5.26514626
257,548,291,0.00829687,0.00149518,0.00051754
258,172332,172074,2.58896701,0.46623192,0.16118205
259,263,4,0.00392063,0.00070555,0.00024362
260,291,31,0.00430473,0.00077414,0.00026697
261,263,2,0.00386078,0.00069382,0.00023898
262,263,1,0.00383136,0.00068806,0.00023670
263,526,263,0.00760456,0.00136474,0.00046892
264,5521040,5520776,79.21602388,14.20673367,4.87540924
265,1530,1265,0.02178711,0.00390469,0.00133837
266,1413545377,1413545111,19977.74573181,3577.99927268,1224.91418224
267,2827090729,2827090462,39656.75951409,7097.72590029,2426.95426885
268,1665,1397,0.02318167,0.00414626,0.00141605
269,22616723423,22616723154,312554.04738740,55865.98238597,19056.75660392
270,291,21,0.00399177,0.00071302,0.00024293
271,43114,42843,0.58705628,0.10479183,0.03566113
272,22616723695,22616723423,305697.49804012,54532.33889189,18535.63343980
273,5521179,5520906,74.08094836,13.20640357,4.48358296
274,1380335,1380061,18.38583569,3.27550616,1.11072895
275,344939,344664,4.56117686,0.81206387,0.27504931
276,22616723971,22616723695,296900.91329290,52825.57603745,17871.33486435
277,5574,5297,0.07264528,0.01291697,0.00436483
278,291,13,0.00376533,0.00066908,0.00022583
279,5521319,5521040,70.93073059,12.59599769,4.24651176
280,22616724251,22616723971,288478.62565051,51195.98884194,17239.89532795
281,22616724532,22616724251,286429.05398868,50800.11293836,17086.92482248
282,573,291,0.00720537,0.00127712,0.00042907
283,291,8,0.00363346,0.00064361,0.00021599
284,526,242,0.00652152,0.00115446,0.00038698
285,548,263,0.00674669,0.00119358,0.00039964
286,2827091015,2827090729,34562.70496112,6110.81241225,2043.73558824
287,291,4,0.00353288,0.00062424,0.00020854
288,690002,689714,8.31888985,1.46900016,0.49019529
289,291,2,0.00348415,0.00061488,0.00020495
290,291,1,0.00346017,0.00061027,0.00020319
291,44171693,44171402,521.62460292,91.94339514,30.57817576
292,11043250,11042958,129.51831957,22.81556046,7.57948635
293,43027,42734,0.50119396,0.08823569,0.02928006
294,11308361871,11308361577,130829.30574066,23018.82107690,7630.12005874
295,86270,85975,0.99132433,0.17431486,0.05771713
296,11043546,11043250,126.04485482,22.15059626,7.32620837
297,2827091312,2827091015,32049.91907855,5628.98258949,1859.72492892
298,11308362169,11308361871,127340.68475519,22351.86855487,7376.64780680
299,1530,1231,0.01711390,0.00300221,0.00098972
300,44171847,44171547,490.79830000,86.04786423,28.33625306
301,45233449365,45233449064,499259.93493449,87480.33799492,28776.86424399
302,45233449667,45233449365,495959.05516205,86851.48302448,28539.23663670
303,45233449970,45233449667,492690.80340707,86229.23405379,28304.34710819
304,2827091616,2827091312,30590.93247922,5350.84559267,1754.51030613
305,1380061,1379756,14.83537759,2.59345612,0.84947125
306,548,242,0.00585245,0.00102251,0.00033456
307,345124,344817,3.66183196,0.63941493,0.20899179
308,599,291,0.00631430,0.00110195,0.00035979
309,11308362478,11308362169,118435.73567516,20657.36713640,6737.57359956
310,573,263,0.00596254,0.00103939,0.00033865
311,45233450281,45233449970,467669.38184055,81478.44164346,26519.09769354
312,11308362790,11308362478,116169.07862837,20227.93211659,6576.77899043
313,44172006,44171693,450.87737958,78.46526909,25.48509628
314,22085872,22085558,224.00373240,38.96128390,12.64126195
315,45233450596,45233450281,455867.47892164,79245.84486685,25685.22262687
316,45233450912,45233450596,452986.81012658,78701.71965959,25482.49896762
317,90466902141,90466901824,900266.71716307,156326.11086488,50564.01639548
318,90466902459,90466902141,894613.56808473,155259.56098869,50167.43776548
319,44172166,44171847,434.07755427,75.29283011,24.30367718
320,11042958,11042638,107.84138672,18.69545519,6.02851679
321,22616724853,22616724532,219492.48214788,38030.79291032,12250.87570389
322,11308363112,11308362790,109065.65248254,18887.29395215,6077.99118688
323,2760209,2759886,26.45677616,4.57915684,1.47209440
324,22616725177,22616724853,215446.62758154,37269.70881738,11969.25708786
325,88344657,88344332,836.39911953,144.61002765,46.39507557
326,43114,42788,0.40567955,0.07010312,0.02246851
327,45233451239,45233450912,423023.23260294,73061.50994427,23393.23821655
328,90466902787,90466902459,840895.51222301,145156.83357035,46430.68734214
329,690207,689878,6.37657634,1.10015749,0.35155203
330,88344824,88344494,811.24723600,139.89209767,44.65769057
331,573,242,0.00522996,0.00090139,0.00028746
332,1530,1198,0.01388082,0.00239113,0.00076181
333,2760325,2759992,24.89268548,4.28582555,1.36411076
334,5574,5240,0.04996594,0.00859830,0.00273401
335,88344992,88344657,787.21311651,135.39653302,43.01004710
336,599,263,0.00530577,0.00091210,0.00028945
337,11308363449,11308363112,99572.62500330,17108.45467236,5424.06650751
338,2760663,2760325,24.16462134,4.14982498,1.31438212
339,1380186,1379847,12.00986765,2.06142592,0.65228647
340,88345164,88344824,764.23152249,131.10973624,41.44627351
341,353386326,353385985,3039.07195501,521.11337409,164.57497331
342,44172348,44172006,377.65763825,64.72491659,20.42138626
343,180933805917,180933805574,1537911.97474692,263443.47151101,83039.44129569
344,180933806261,180933805917,1528983.62510986,261783.50167736,82437.27223912
345,180933806606,180933806261,1520132.80072254,260138.82880603,81841.19886340
346,5654181009,5654180663,47229.95262956,8078.41396220,2539.09798363
347,88345339,88344992,733.71042862,125.43506408,39.38763952
348,22086049,22085701,182.37258059,31.16306745,9.77619648
349,180933806955,180933806606,1485487.03996683,253709.44365924,79516.29819618
350,641,291,0.00523265,0.00089326,0.00027970
351,88345515,88345164,717.08439867,122.35293548,38.27513363
352,180933807307,180933806955,1460274.14213423,249039.22132948,77832.87329465
353,90466903140,90466902787,726006.17242735,123755.24171981,38641.40957210
354,180933807661,180933807307,1443820.48310671,245995.47517793,76738.19288334
355,180933808016,180933807661,1435697.74263837,244494.02994122,76198.92439847
356,86270,85914,0.68070635,0.11586628,0.03607736
357,599,242,0.00469992,0.00079961,0.00024875
358,180933808374,180933808016,1411736.59041541,240069.49602701,74612.59723940
359,706772675,706772316,5483.91675266,932.11223022,289.43005635
360,22086232,22085872,170.41845679,28.95267496,8.98184131
361,176691391,176691030,1355.81672179,230.23345557,71.35877483
362,2760461,2760099,21.06514606,3.57542739,1.10715950
363,45233451602,45233451239,343278.40085301,58238.02860190,18017.44337632
364,22616725541,22616725177,170697.42136366,28945.72961720,8946.97592415
365,5521544,5521179,41.44525427,7.02474158,2.16934376
366,180933808740,180933808374,1350695.81608887,228829.36137091,70602.00131066
367,22086599,22086232,163.98220345,27.76835826,8.55980134
368,690002,689634,5.09512346,0.86239877,0.26560167
369,176691579,176691210,1297.66657854,219.54173975,67.55382375
370,361867617850,361867617480,2643298.88860482,446993.75075730,137418.56570839
371,361867618221,361867617850,2629068.50590304,444384.50175996,136494.43586036
372,5574,5202,0.04027922,0.00680519,0.00208838
373,361867618594,361867618221,2600950.33094466,439232.60769738,134672.10327152
374,361867618968,361867618594,2587060.10300552,436689.46640261,133773.69325414
375,361867619343,361867618968,2573280.84866133,434167.87005369,132883.65162640
376,180933809116,180933808740,1279805.68919760,215833.78852214,66000.93894606
377,176691768,176691391,1243.17885864,209.56295961,64.02696867
378,641,263,0.00448616,0.00075589,0.00023074
379,176691958,176691579,1230.09417924,207.17249323,63.18569379
380,43114,42734,0.29857341,0.05026343,0.01531649
381,176692149,176691768,1217.21501643,204.82182547,62.35981436
382,361867619725,361867619343,2479836.21422795,417100.21501896,126879.45849486
383,361867620108,361867619725,2466903.58587215,414742.61505849,126052.88481509
384,176692342,176691958,1198.27163357,201.36844433,61.14904324
385,345124,344739,2.32837915,0.39111103,0.11866519
386,5654181395,5654181009,37948.54489382,6371.65566145,1931.53007858
387,90466903527,90466903140,604042.91627106,101376.27768925,30705.22705029
388,5962,5574,0.03960304,0.00664368,0.00201054
389,345328,344939,2.28208907,0.38267103,0.11570651
390,5521040,5520650,36.29875082,6.08411969,1.83805870
391,176692540,176692149,1155.75212093,193.63524001,58.44889706
392,1380335,1379943,8.98281315,1.50434086,0.45370058
393,723735240609,723735240216,4685917.29703009,784410.21751341,236373.25958930
394,723735241003,723735240609,4662161.10311397,780101.63289787,234876.28318870
395,723735241398,723735241003,4638585.10750200,775827.68594320,233392.54595030
396,5654181791,5654181395,36056.15365141,6028.03156210,1811.88989462
397,5654182188,5654181791,35874.74184850,5995.17444133,1800.50168120
398,361867620506,361867620108,2284460.11783793,381605.01676475,114509.63872875
399,641,242,0.00402636,0.00067230,0.00020157
400,1665,1265,0.01040625,0.00173685,0.00052031
401,1413545778,1413545377,8790.65290639,1466.58483092,438.98425753
402,723735241800,723735241398,4478448.81191060,746849.76144652,223364.72505805
403,5521179,5520776,33.99552365,5.66692501,1.69343765
404,723735242204,723735241800,4434217.49218214,738862.01543336,220610.56571005
405,526,121,0.00320683,0.00053413,0.00015935
406,88345745,88345339,535.96147080,89.23242716,26.59932118
407,90466903934,90466903527,546136.13081878,90889.18459670,27070.96295564
408,723735242612,723735242204,4347698.25675221,723258.19675170,215243.13732636
409,90466904343,90466903934,540808.00774147,89929.10267758,26741.23493889
410,723735243022,723735242612,4305385.14587745,715637.08054683,212627.81667793
411,45233452013,45233451602,267778.73688292,44491.91486109,13208.55100958
412,690207,689795,4.06616434,0.67532778,0.20032554
413,5521319,5520906,32.37000276,5.37399923,1.59282371
414,2827092030,2827091616,16494.50413078,2737.28360412,810.66065162
415,180933809531,180933809116,1050566.46555959,174273.04694598,51570.27953643
416,353385496,353385080,2042.02972448,338.60658223,100.11874435
417,11308363866,11308363449,65032.08291496,10779.23976621,3184.63480179
418,176692760,176692342,1011.26782812,167.55379657,49.46272629
419,2827092449,2827092030,16103.19176241,2667.03147119,786.69239748
420,353386746,353386326,2003.32622449,331.66254078,97.75231043
421,526,105,0.00296771,0.00049113,0.00014464
422,90466904765,90466904343,508001.30705173,84036.53605931,24729.11670865
423,1447470486467,1447470486044,8089636.03701468,1337710.95899219,393331.56392007
424,1447470486891,1447470486467,8051522.37724168,1330888.77994757,391016.49277340
425,2827092874,2827092449,15651.72525398,2586.16897688,759.22019347
426,5654182614,5654182188,31156.64117569,5146.08197287,1509.54419741
427,548,121,0.00300556,0.00049623,0.00014545
428,706771420,706770992,3858.25956415,636.76862800,186.49601524
429,2894940974211,2894940973782,15729869.83449883,2595064.19741752,759445.27204801
430,1380186,1379756,7.46449973,1.23099672,0.35997014
431,2894940974642,2894940974211,15584223.67796254,2569064.62042552,750665.64064714
432,11043978,11043546,59.17769419,9.75173763,2.84718814
433,2894940975075,2894940974642,15440591.04840817,2543445.58111700,742027.45155077
434,1665,1231,0.00883964,0.00145555,0.00042432
435,706771639,706771204,3735.08595059,614.79394449,179.08366412
436,526,90,0.00276702,0.00045528,0.00013252
437,22087036,22086599,115.65770361,19.02285764,5.53265827
438,1447470487329,1447470486891,7545039.13246700,1240507.65742662,360515.91491878
439,2760325,2759886,14.32290721,2.35399928,0.68359506
440,5789881950590,5789881950150,29906415.03403926,4913343.49894861,1425732.39567042
441,706771861,706771420,3634.14349474,596.83309436,173.05445213
442,1447470487771,1447470487329,7409095.26714748,1216338.58900317,352414.72341517
443,548,105,0.00279237,0.00045825,0.00013267
444,176692984,176692540,896.29993507,147.03506078,42.53651250
445,44171847,44171402,223.06197197,36.57908409,10.57415158
446,353385732,353385286,1776.55760220,291.22372390,84.12244058
447,11579763901627,11579763901180,57954165.73641328,9496699.59540685,2741137.97879642
448,11579763902075,11579763901627,57695730.53887815,9450890.20092076,2725867.04850118
449,706772088,706771639,3505.79653871,574.05983294,165.44876794
450,5789881951040,5789881950590,28592009.63476543,4680119.64606415,1347840.26003292
451,11579763902526,11579763902075,56930712.74244472,9315391.80033931,2680762.56374917
452,573,121,0.00280464,0.00045875,0.00013192
453,90466905218,90466904765,440852.52215059,72083.10956200,20713.05835710
454,2760663,2760209,13.39373460,2.18919938,0.62859911
455,706772316,706771861,3413.94670209,557.80732020,160.04829000
456,1413546234,1413545778,6797.98704409,1110.32993514,318.34491064
457,180933809988,180933809531,866337.92830227,141450.23881402,40525.57897742
458,548,90,0.00261246,0.00042639,0.00012207
459,44172006,44171547,209.66297863,34.20807000,9.78622978
460,345124,344664,1.63102079,0.26601868,0.07604674
461,11579763902987,11579763902526,54487621.94318209,8883757.67579575,2537741.55535696
462,23159527806436,23159527805974,108504000.14259478,17684435.26696445,5048062.94488789
463,23159527806899,23159527806436,108035806.51539636,17601924.22428931,5020849.72316619
464,46319055614262,46319055613798,215141273.47587508,35039954.19553405,9987682.88348605
465,353387211,353386746,1634.34945543,266.09239695,75.79114117
466,46319055614728,46319055614262,213298530.15679052,34715508.75222607,9880863.60570381
467,1665,1198,0.00763450,0.00124212,0.00035328
468,573,105,0.00261615,0.00042550,0.00012093
469,2760461,2759992,12.54977473,2.04041379,0.57949475
470,11044448,11043978,49.99750113,8.12606424,2.30621276
471,11043250,11042779,49.78002263,8.08792370,2.29374237
472,92638111229928,92638111229456,415820306.79908788,67536418.06681295,19139681.00229670
473,44172166,44171693,197.43603199,32.05601140,9.07811842
474,23159527807373,23159527806899,103079669.42340526,16730433.50780248,4734606.02321016
475,92638111230403,92638111229928,410584426.50594127,66617467.96336992,18838905.50453685
476,1447470488247,1447470487771,6388454.59469229,1036175.44596881,292814.33626437
477,92638111230880,92638111230403,407148588.66729075,66014997.97670535,18642053.25008396
478,599,121,0.00262163,0.00042493,0.00011991
479,1413545111,1413544632,6160.82178425,998.23730705,281.49513231
480,11579763903467,11579763902987,50259391.94213108,8140773.11657530,2294016.89109988
481,526,45,0.00227350,0.00036813,0.00010366
482,2827090208,2827089726,12168.73938121,1969.70693754,554.27089061
483,573,90,0.00245618,0.00039744,0.00011176
484,2894940975559,2894940975075,12358022.74246551,1999005.66377516,561728.30647570
485,92638111231365,92638111230880,393827659.60831118,63683405.19508564,17882792.82787970
486,11579763903953,11579763903467,49026079.62858389,7925060.82629852,2223868.13294607
487,11579763904440,11579763903953,48824947.20827764,7889926.19532151,2212469.54753047
488,1380335,1379847,5.79621993,0.93633677,0.26238255
489,353385985,353385496,1477.85424534,238.65757986,66.83087910
490,92638111231855,92638111231365,385831367.06311953,62287070.78441838,17430084.46651327
491,22086049,22085558,91.61256590,14.78469974,4.13441722
492,88344824,88344332,364.96473660,58.87972732,16.45388104
493,690207,689714,2.83978539,0.45799229,0.12789750
494,599,105,0.00245456,0.00039573,0.00011044
495,526,31,0.00214672,0.00034599,0.00009649
496,11579763904936,11579763904440,47069149.58757154,7583754.73743844,2113467.20695481
