n,a_n,b_n
442,201988,201546
443,373002,372559
444,831,387
445,374450,374005
446,657,211
447,381793,381346
448,390179,389731
449,13257,12808
450,740,290
451,393320,392869
452,395804,395352
453,398322,397869
454,405247,404793
455,1014,559
456,657,201
457,303953,303496
458,971,513
459,607,148
460,13717,13257
461,930,469
462,559,97
463,407169,406706
464,891,427
465,513,48
466,408570,408104
467,412732,412265
468,469,1
469,419305,418836
470,796,326
471,425068,424597
472,429403,428931
473,14910,14437
474,409044,408570
475,449062,448587
476,709,233
477,452447,451970
478,1568,1090
479,1568,1089
480,454086,453606
481,460134,459653
482,462904,462422
483,460617,460134
484,479960,479476
485,485112,484627
486,489565,489079
487,492283,491796
488,499948,499460
489,502772,502283
490,461107,460617
491,508620,508129
492,513326,512834
493,519418,518925
494,520440,519946
495,82394,81899
496,534962,534466
497,536215,535718
498,709,211
499,542920,542421
500,544923,544423
